"uid","pitNamedLocation","endDate","depthIncrementID","sampleID","archiveID","rootStatus","sizeCategory","rootDryMass","incrementRootBiomass","incrementRootDensity","publicationDate","release"
"9ababf84-54a6-4d64-b1b4-3c6adf1e0926","MEGAPT103797",2015-07-28,"DEJU.1.30","DEJU.1.30.LIVE.<4MM","DEJU.1.30.LIVE.<4MM","live","<=4mm",0.092,9.2,92,"20241118T101502Z","RELEASE-2025"
"82d25ce5-0426-4aa2-b5aa-05c4f80c75e2","MEGAPT103797",2015-07-28,"DEJU.3.0","DEJU.3.0.DEAD.>4MM","DEJU.3.0.DEAD.>4MM","dead",">4mm",3.1433,314.33,3143.3,"20241118T101502Z","RELEASE-2025"
"ea5a25f8-7cb2-4d85-830e-9dacc85421fa","MEGAPT103797",2015-07-28,"DEJU.3.20","DEJU.3.20.LIVE.<4MM","DEJU.3.20.LIVE.<4MM","live","<=4mm",0.6199,61.99,619.9,"20241118T101502Z","RELEASE-2025"
"caf38a57-5c0d-47e8-a506-2a89e290be0a","MEGAPT103797",2015-07-28,"DEJU.2.0","DEJU.2.0.DEAD.>4MM","DEJU.2.0.DEAD.>4MM","dead",">4mm",0.2066,20.66,206.6,"20241118T101502Z","RELEASE-2025"
"eede7077-f7a4-47f9-8b98-c2d4b21cc68b","MEGAPT103797",2015-07-28,"DEJU.3.80","DEJU.3.80.LIVE.<4MM",NA,"live","<=4mm",0.004,0.4,4,"20241118T101502Z","RELEASE-2025"
"1b898725-b0f6-4b6b-9dc4-b8f66566b4c4","MEGAPT103797",2015-07-28,"DEJU.1.0","DEJU.1.0.DEAD.<4MM","DEJU.1.0.DEAD.<4MM","dead","<=4mm",1.4845,148.45,1484.5,"20241118T101502Z","RELEASE-2025"
"96f67ec3-91ac-4263-83ba-35301ef550a5","MEGAPT103797",2015-07-28,"DEJU.1.10","DEJU.1.10.DEAD.>4MM","DEJU.1.10.DEAD.>4MM","dead",">4mm",0.6226,62.26,622.6,"20241118T101502Z","RELEASE-2025"
"b56b122c-26d8-40be-9496-83382873b249","MEGAPT103797",2015-07-28,"DEJU.3.10","DEJU.3.10.LIVE.<4MM","DEJU.3.10.LIVE.<4MM","live","<=4mm",2.1628,216.28,2162.8,"20241118T101502Z","RELEASE-2025"
"e8f25608-d165-40bc-9135-b5d78140067b","MEGAPT103797",2015-07-28,"DEJU.1.30","DEJU.1.30.DEAD.<4MM",NA,"dead","<=4mm",0.0056,0.56,5.6,"20241118T101502Z","RELEASE-2025"
"999841ea-3af5-4b9d-8aad-fe50bedf1b86","MEGAPT103797",2015-07-28,"DEJU.1.10","DEJU.1.10.LIVE.<4MM","DEJU.1.10.LIVE.<4MM","live","<=4mm",1.458,145.8,1458,"20241118T101502Z","RELEASE-2025"
"a832d119-f4f5-4071-9ab3-2ac300d1cd6d","MEGAPT103797",2015-07-28,"DEJU.1.40","DEJU.1.40.DEAD.<4MM",NA,"dead","<=4mm",0.0011,0.11,1.1,"20241118T101502Z","RELEASE-2025"
"d3937097-5ac8-4e8e-b9dd-8e4a3c5593cf","MEGAPT103797",2015-07-28,"DEJU.1.40","DEJU.1.40.LIVE.<4MM",NA,"live","<=4mm",0.0117,1.17,11.7,"20241118T101502Z","RELEASE-2025"
